date,actual,forecast,lower,upper
2018-10-14 00:00:00+00:00,55.84894047619047,57.84167473061257,55.45420967424934,60.22913978697579
2018-10-21 00:00:00+00:00,55.762125,57.807352186383824,55.09705053058839,60.51765384217926
2018-10-28 00:00:00+00:00,58.684714285714286,57.764595283726806,55.040378263712576,60.488812303741035
2018-11-04 00:00:00+00:00,55.917589285714286,57.31003439822781,54.57202295296093,60.0480458434947
2018-11-11 00:00:00+00:00,58.16347023809524,60.45005038826866,57.70218127835943,63.19791949817788
2018-11-18 00:00:00+00:00,59.69608333333333,61.39276016822225,58.63540275694119,64.15011757950332
2018-11-25 00:00:00+00:00,61.55336309523809,61.9585893180473,59.18586804349898,64.73131059259562
2018-12-02 00:00:00+00:00,62.379154761904765,62.309009898370405,59.536349712753726,65.08167008398708
2018-12-09 00:00:00+00:00,62.32269047619047,63.19059453407613,60.41848231673659,65.96270675141568
2018-12-16 00:00:00+00:00,63.2435,61.66812084341381,58.88703453184847,64.44920715497915
2018-12-23 00:00:00+00:00,59.40855952380953,55.69960417079691,52.915835350467404,58.483372991126416
2018-12-30 00:00:00+00:00,49.07558333333333,49.75950086529817,46.971537018255646,52.5474647123407
2019-01-06 00:00:00+00:00,53.805875,58.1411036686944,55.35254548551771,60.92966185187109
2019-01-13 00:00:00+00:00,62.37220238095238,62.384094799763176,59.59601126277831,65.17217833674803
2019-01-20 00:00:00+00:00,62.423494047619045,63.54095397985083,60.74944177745921,66.33246618224246
2019-01-27 00:00:00+00:00,63.58701190476191,62.511030576688356,59.77368603010883,65.24837512326789
2019-02-03 00:00:00+00:00,62.088767857142855,61.70175652234129,58.963108736944804,64.44040430773778
2019-02-10 00:00:00+00:00,62.35953571428572,62.02046703549114,59.2838026578768,64.75713141310547
2019-02-17 00:00:00+00:00,60.79900595238095,61.758223053488436,59.02196022830339,64.49448587867349
2019-02-24 00:00:00+00:00,59.46751785714285,61.23583660260905,58.49529978654269,63.97637341867541
2019-03-03 00:00:00+00:00,58.48182142857143,62.041010809844245,59.304434742109336,64.77758687757915
2019-03-10 00:00:00+00:00,58.99095238095238,60.10848674135365,57.371309105878886,62.84566437682842
2019-03-17 00:00:00+00:00,60.07891071428572,59.75409626930075,57.016100151598074,62.49209238700343
2019-03-24 00:00:00+00:00,57.649363095238094,58.93720695486131,56.200514379041074,61.673899530681545
2019-03-31 00:00:00+00:00,56.77151190476191,55.9901580186656,53.25127558750765,58.72904044982356
2019-04-07 00:00:00+00:00,56.43385714285714,56.0151478641188,53.27829776368577,58.75199796455183
2019-04-14 00:00:00+00:00,56.76597023809524,55.668424016548705,52.93146021327403,58.40538781982338
2019-04-21 00:00:00+00:00,51.65626190476191,55.369852604177034,52.63158492134903,58.108120287005036
2019-04-28 00:00:00+00:00,52.33675,56.20701056062923,53.47016254347535,58.94385857778311
2019-05-05 00:00:00+00:00,53.123172619047615,54.39036233617867,51.65242326703115,57.128301405326184
2019-05-12 00:00:00+00:00,56.02357738095238,54.664878660793924,51.92759020338417,57.40216711820368
2019-05-19 00:00:00+00:00,55.28559523809524,55.22922971896837,52.49222011025774,57.966239327679
2019-05-26 00:00:00+00:00,54.94535119047619,53.48356043340998,50.74549604646146,56.22162482035849
2019-06-02 00:00:00+00:00,51.30880357142857,54.96653954441832,52.229509295108834,57.7035697937278
2019-06-09 00:00:00+00:00,54.52816071428572,55.49215660973412,52.75464149482407,58.22967172464416
2019-06-16 00:00:00+00:00,52.28670833333334,55.504758643537656,52.76721758574887,58.242299701326445
2019-06-23 00:00:00+00:00,52.54121428571428,56.48543346301385,53.74834149735777,59.222525428669925
2019-06-30 00:00:00+00:00,55.95528571428572,56.37868077011729,53.6408895655609,59.116471974673686
2019-07-07 00:00:00+00:00,55.17963095238096,56.546367893460626,53.80914674143013,59.28358904549112
2019-07-14 00:00:00+00:00,53.908166666666666,55.70487610163129,52.96752195956662,58.44223024369597
2019-07-21 00:00:00+00:00,53.511964285714285,55.536240757636016,52.79863373795655,58.27384777731548
2019-07-28 00:00:00+00:00,54.20710119047619,55.19367248125159,52.45648905346491,57.93085590903827
2019-08-04 00:00:00+00:00,52.39210119047619,54.86773337842373,52.13014361619633,57.60532314065113
2019-08-11 00:00:00+00:00,52.01905357142857,54.57537676248106,51.838015156471215,57.31273836849091
2019-08-18 00:00:00+00:00,51.15523809523809,54.1145251901505,51.37721526219517,56.85183511810583
2019-08-25 00:00:00+00:00,51.83813095238095,55.46761913908402,52.730041904043425,58.20519637412462
2019-09-01 00:00:00+00:00,54.09197023809524,55.51458168757945,52.7773096818028,58.251853693356104
2019-09-08 00:00:00+00:00,52.44316071428572,55.615554247384324,52.87808226114639,58.35302623362226
2019-09-15 00:00:00+00:00,53.34848809523809,56.19530095079099,53.45786463103768,58.932737270544294
2019-09-22 00:00:00+00:00,53.22254761904762,55.899018073412876,53.16170217229067,58.636333974535084
2019-09-29 00:00:00+00:00,54.82947619047619,56.462799539882006,53.72527783067103,59.20032124909298
2019-10-06 00:00:00+00:00,52.33063095238096,55.98363377610084,53.2462900783065,58.720977473895175
2019-10-13 00:00:00+00:00,55.80170833333334,58.591487970147625,55.77461811423578,61.40835782605947
2019-10-20 00:00:00+00:00,56.13279166666666,58.63419991469635,55.79104776299191,61.4773520664008
2019-10-27 00:00:00+00:00,56.48441071428572,58.837700661695614,55.99236459337827,61.68303673001296
2019-11-03 00:00:00+00:00,55.02963095238096,57.74619415520283,54.89848093903712,60.59390737136854
2019-11-10 00:00:00+00:00,58.15936309523809,61.39746913875405,58.548150164328284,64.24678811317982
2019-11-17 00:00:00+00:00,59.11223809523809,62.12598769899779,59.27773058411794,64.97424481387765
2019-11-24 00:00:00+00:00,59.73594047619047,62.561913974639495,59.71118703021802,65.41264091906096
2019-12-01 00:00:00+00:00,59.84283333333334,63.27004675374008,60.419945513173886,66.12014799430628
2019-12-08 00:00:00+00:00,61.05929761904762,63.76583683807816,60.916117407175946,66.61555626898037
2019-12-15 00:00:00+00:00,61.24219047619047,62.478262826787166,59.62697371286169,65.32955194071263
2019-12-22 00:00:00+00:00,56.83676785714285,56.506592561140664,53.6562198796238,59.35696524265753
2019-12-29 00:00:00+00:00,46.50530952380953,50.375267837333666,47.523932713270874,53.22660296139646
2020-01-05 00:00:00+00:00,50.161702380952384,59.02354655429803,56.171332945549054,61.875760163047005
2020-01-12 00:00:00+00:00,59.07759523809524,63.05750507394546,60.20482418831138,65.91018595957954
2020-01-19 00:00:00+00:00,60.36169642857143,64.2809764926573,61.427713523940874,67.13423946137374
2020-01-26 00:00:00+00:00,60.89373214285715,63.33311015307157,60.52568607213518,66.14053423400796
2020-02-02 00:00:00+00:00,60.83919642857143,62.3550657192311,59.54578066879618,65.16435076966602
2020-02-09 00:00:00+00:00,60.259839285714285,62.838504483981374,60.03305298372349,65.64395598423926
2020-02-16 00:00:00+00:00,60.845125,62.489310865542706,59.68418260548486,65.29443912560056
2020-02-23 00:00:00+00:00,59.787327380952384,61.949838025714456,59.142366823710056,64.75730922771885
2020-03-01 00:00:00+00:00,58.89913690476191,62.85099992207811,60.048069598640986,65.65393024551524
2020-03-08 00:00:00+00:00,58.68847023809524,60.800156198310304,57.995785032209774,63.604527364410835
2020-03-15 00:00:00+00:00,58.534238095238095,60.529229969764124,57.72549984828013,63.33296009124812
2020-03-22 00:00:00+00:00,55.37274404761904,59.69560036377656,56.89313172164827,62.49806900590486
2020-03-29 00:00:00+00:00,53.47198214285714,56.702175609117226,53.89793328017441,59.50641793806004
2020-04-05 00:00:00+00:00,52.84526785714286,56.805141894530536,54.00339570682415,59.60688808223692
2020-04-12 00:00:00+00:00,47.21088690476191,56.38935563499525,53.5869147944765,59.191796475513996
2020-04-19 00:00:00+00:00,47.41569642857143,56.12122710679655,53.318345028808864,58.92410918478424
2020-04-26 00:00:00+00:00,50.17241666666666,56.97384862194077,54.17237469063613,59.7753225532454
2020-05-03 00:00:00+00:00,48.161904761904765,55.11050080171419,52.307815652193035,57.91318595123534
2020-05-10 00:00:00+00:00,49.59077976190476,55.436627921358806,52.63502967183047,58.23822617088714
2020-05-17 00:00:00+00:00,50.92697619047619,55.96859344060007,53.16693258211151,58.77025429908863
2020-05-24 00:00:00+00:00,47.43964285714286,54.224673246784896,51.422341309390774,57.02700518417902
2020-05-31 00:00:00+00:00,49.52760714285714,55.73220111416705,52.93096017893426,58.53344204939984
2020-06-07 00:00:00+00:00,48.776244047619045,56.22246346907103,53.4205108532796,59.02441608486246
2020-06-14 00:00:00+00:00,48.219744047619045,56.26344630288595,53.461805885221054,59.06508672055085
2020-06-21 00:00:00+00:00,49.81394642857143,57.234367298960095,54.43299684432216,60.03573775359803
2020-06-28 00:00:00+00:00,50.48079166666666,57.117453595709016,54.315489978960215,59.919417212457816
2020-07-05 00:00:00+00:00,51.458875,57.307292640766796,54.506005504136525,60.10857977739707
2020-07-12 00:00:00+00:00,51.25257738095238,56.44367211570077,53.6420596734327,59.245284557968844
2020-07-19 00:00:00+00:00,50.89618452380952,56.28714992253113,53.48549570857076,59.0888041364915
2020-07-26 00:00:00+00:00,50.47573809523809,55.946279318578945,53.144975317426535,58.747583319731355
2020-08-02 00:00:00+00:00,50.049392857142855,55.60791062743913,52.806182255395434,58.40963899948283
2020-08-09 00:00:00+00:00,49.45092261904762,55.33130407650724,52.52991813698585,58.132690016028626
