model,MAE,RMSE,MASE,Bias
feature_model,2.2170267091155327,2.970937745414828,1.6565504321457094,1.6881354812461615
seasonal_naive,2.3185205853174606,3.006760811959995,1.7323861105302614,1.7317507058913308
sarimax,2.8167899786810078,3.551822187058665,2.1046903211685963,2.522480239660757
naive,3.7832029342185596,4.45910854649494,2.8267888834207473,-0.8824799488705728
mean,3.788833121924255,4.39729969422285,2.8309957293908856,0.48100564606537205
drift,4.339890674447435,5.117957264105129,3.2427429686172493,1.0068021780426912
