date,actual,mean,naive,seasonal_naive,drift,sarimax,feature_model
2018-10-14 00:00:00+00:00,55.84894047619047,55.65054511874547,54.287059523809525,56.33339880952381,54.32304585003644,56.72360429876066,56.08173873511909
2018-10-21 00:00:00+00:00,55.762125000000005,55.65054511874547,54.287059523809525,56.55730952380953,54.35903217626336,57.258419915558605,56.87871708333334
2018-10-28 00:00:00+00:00,58.68471428571428,55.65054511874547,54.287059523809525,57.687714285714286,54.39501850249028,58.395597106567266,57.97778284226193
2018-11-04 00:00:00+00:00,55.91758928571429,55.65054511874547,54.287059523809525,53.707708333333336,54.4310048287172,56.77680516671379,54.603142752976176
2018-11-11 00:00:00+00:00,58.16347023809524,55.65054511874547,54.287059523809525,59.21035714285714,54.46699115494412,59.5253201170915,58.65399495535713
2018-11-18 00:00:00+00:00,59.69608333333333,55.65054511874547,54.287059523809525,59.97938095238095,54.502977481171044,61.21524574476616,59.411766979166615
2018-11-25 00:00:00+00:00,61.5533630952381,55.65054511874547,54.287059523809525,60.69883333333333,54.53896380739796,62.26637140344694,61.11357083333323
2018-12-02 00:00:00+00:00,62.379154761904765,55.65054511874547,54.287059523809525,61.95860119047619,54.57495013362488,62.71080610975987,61.64431324404746
2018-12-09 00:00:00+00:00,62.32269047619047,55.65054511874547,54.287059523809525,63.12195833333333,54.6109364598518,62.459244762334855,60.86458282738088
2018-12-16 00:00:00+00:00,63.2435,55.65054511874547,54.287059523809525,62.71340476190477,54.64692278607872,62.26038650498671,61.67206787202379
2018-12-23 00:00:00+00:00,59.40855952380953,55.65054511874547,54.287059523809525,57.949869047619046,54.68290911230564,56.06215576873627,59.923279434523785
2018-12-30 00:00:00+00:00,49.07558333333333,55.65054511874547,54.287059523809525,48.223803571428576,54.718895438532556,49.02993571299692,52.02041434523831
2019-01-06 00:00:00+00:00,53.805875,55.65054511874547,54.287059523809525,54.85843452380953,54.754881764759475,57.48224219449337,55.04252273809524
2019-01-13 00:00:00+00:00,62.37220238095239,55.65054511874547,54.287059523809525,60.05204761904762,54.79086809098639,61.34161639183104,59.812929553571294
2019-01-20 00:00:00+00:00,62.42349404761905,55.65054511874547,54.287059523809525,61.86826785714286,54.82685441721331,62.473934866029815,61.653307767857
2019-01-27 00:00:00+00:00,63.58701190476191,55.65054511874547,54.287059523809525,60.12823214285714,54.86284074344023,63.51888044632201,62.09622171130939
2019-02-03 00:00:00+00:00,62.08876785714286,55.65054511874547,54.287059523809525,60.81609523809524,54.898827069667156,62.0768819630895,61.86115376488092
2019-02-10 00:00:00+00:00,62.35953571428571,55.65054511874547,54.287059523809525,61.24415476190476,54.934813395894075,60.96085917992933,60.96378726190482
2019-02-17 00:00:00+00:00,60.79900595238095,55.65054511874547,54.287059523809525,60.73777380952381,54.970799722120994,60.95239536354637,60.012116875000146
2019-02-24 00:00:00+00:00,59.46751785714285,55.65054511874547,54.287059523809525,60.69296428571428,55.00678604834791,60.70203899194232,60.06915190476201
2019-03-03 00:00:00+00:00,58.48182142857143,55.65054511874547,54.287059523809525,63.44200595238095,55.04277237457483,60.762700983187926,59.922176413690515
2019-03-10 00:00:00+00:00,58.99095238095238,55.65054511874547,54.287059523809525,59.17857142857143,55.07875870080175,59.329049302082,59.11832377976194
2019-03-17 00:00:00+00:00,60.07891071428571,55.65054511874547,54.287059523809525,60.88598809523809,55.11474502702867,59.214875993330125,59.441566874999936
2019-03-24 00:00:00+00:00,57.6493630952381,55.65054511874547,54.287059523809525,60.75360714285714,55.15073135325559,58.3312795072762,59.531399241071384
2019-03-31 00:00:00+00:00,56.7715119047619,55.65054511874547,54.287059523809525,55.40161904761904,55.186717679482506,55.88462379748469,55.418535729166514
2019-04-07 00:00:00+00:00,56.43385714285715,55.65054511874547,54.287059523809525,54.534148809523806,55.222704005709424,55.412234916288014,54.84579328869061
2019-04-14 00:00:00+00:00,56.76597023809524,55.65054511874547,54.287059523809525,56.09988095238096,55.25869033193634,56.761609232525906,55.14860538690479
2019-04-21 00:00:00+00:00,51.65626190476191,55.65054511874547,54.287059523809525,54.434273809523816,55.29467665816327,54.872434978035216,54.52774373511921
2019-04-28 00:00:00+00:00,52.33675,55.65054511874547,54.287059523809525,55.34271428571428,55.33066298439019,55.27380094998215,55.27674278273815
2019-05-05 00:00:00+00:00,53.123172619047615,55.65054511874547,54.287059523809525,52.81313690476191,55.366649310617106,55.02172657543294,53.26969686011919
2019-05-12 00:00:00+00:00,56.023577380952375,55.65054511874547,54.287059523809525,52.85682142857143,55.402635636844025,54.67777514059504,53.37290441964292
2019-05-19 00:00:00+00:00,55.28559523809523,55.65054511874547,54.287059523809525,55.36916666666667,55.43862196307094,55.63114860181614,55.35383699404773
2019-05-26 00:00:00+00:00,54.94535119047619,55.65054511874547,54.287059523809525,53.64008928571428,55.47460828929786,53.04837709159171,53.43402022321435
2019-06-02 00:00:00+00:00,51.30880357142858,55.65054511874547,54.287059523809525,53.98164880952381,55.51059461552478,54.172067301265365,54.19181366071428
2019-06-09 00:00:00+00:00,54.52816071428571,55.65054511874547,54.287059523809525,56.448547619047616,55.5465809417517,56.58435820859604,55.542204702380886
2019-06-16 00:00:00+00:00,52.28670833333333,55.65054511874547,54.287059523809525,55.91553571428571,55.58256726797862,56.98492049190749,55.50805638392847
2019-06-23 00:00:00+00:00,52.54121428571428,55.65054511874547,54.287059523809525,56.29283928571429,55.61855359420554,57.258865260456254,55.60200663690467
2019-06-30 00:00:00+00:00,55.95528571428571,55.65054511874547,54.287059523809525,55.683684523809525,55.654539920432455,57.71784229407046,55.54044891369042
2019-07-07 00:00:00+00:00,55.17963095238096,55.65054511874547,54.287059523809525,55.95719642857142,55.69052624665938,56.07833559895796,55.51092843749997
2019-07-14 00:00:00+00:00,53.908166666666666,55.65054511874547,54.287059523809525,53.87878571428572,55.7265125728863,55.21715999586772,54.00904819940475
2019-07-21 00:00:00+00:00,53.511964285714285,55.65054511874547,54.287059523809525,53.46576785714286,55.76249889911322,55.075399095291296,53.82221023809521
2019-07-28 00:00:00+00:00,54.20710119047619,55.65054511874547,54.287059523809525,55.10847619047619,55.79848522534014,56.105411681178545,55.092711339285614
2019-08-04 00:00:00+00:00,52.39210119047619,55.65054511874547,54.287059523809525,54.967077380952375,55.834471551567056,54.451190499601715,55.23326145833318
2019-08-11 00:00:00+00:00,52.01905357142856,55.65054511874547,54.287059523809525,54.29031547619047,55.870457877793974,54.534201121437725,54.59306474702374
2019-08-18 00:00:00+00:00,51.1552380952381,55.65054511874547,54.287059523809525,53.30570238095238,55.90644420402089,53.667408796942716,53.8274107142858
2019-08-25 00:00:00+00:00,51.83813095238096,55.65054511874547,54.287059523809525,54.65057142857143,55.94243053024781,55.6207446122248,54.863637559523696
2019-09-01 00:00:00+00:00,54.09197023809524,55.65054511874547,54.287059523809525,54.58705357142857,55.97841685647473,57.10180057380678,54.860478794642766
2019-09-08 00:00:00+00:00,52.44316071428571,55.65054511874547,54.287059523809525,54.90651190476191,56.01440318270165,55.10086592595093,55.30494224702371
2019-09-15 00:00:00+00:00,53.348488095238096,55.65054511874547,54.287059523809525,55.12004761904762,56.050389508928575,55.46770047000768,55.54368485119039
