date,actual,gbm,rf,lower,upper
2018-10-14 00:00:00+00:00,55.84894047619047,56.02649801379615,56.07566828869052,55.18038869001783,56.75796309465239
2018-10-21 00:00:00+00:00,55.762125,57.081031270645084,56.89629107142859,55.24274838683251,57.246693846765474
2018-10-28 00:00:00+00:00,58.684714285714286,57.89814739494235,57.98401611607145,55.3498476900393,58.4020388566273
2018-11-04 00:00:00+00:00,55.917589285714286,53.71693384952095,54.62262424107141,53.72761938566422,56.44607126489206
2018-11-11 00:00:00+00:00,58.16347023809524,57.59730762839336,58.61739498511902,55.33882740421071,59.01115906440518
2018-11-18 00:00:00+00:00,59.69608333333333,58.39326576507608,59.40355004464279,55.72567385667156,59.37793922715799
2018-11-25 00:00:00+00:00,61.55336309523809,60.2458203694796,61.06256936011896,55.74495645085909,60.548336233466294
2018-12-02 00:00:00+00:00,62.379154761904765,61.83981177426661,61.63408508928557,55.74495645085909,62.14541635328361
2018-12-09 00:00:00+00:00,62.32269047619047,60.46610787257225,60.89284997023807,55.74495645085909,61.72108427605893
2018-12-16 00:00:00+00:00,63.2435,62.416630571117274,61.66687781249996,55.84364170275741,62.32783511859887
2018-12-23 00:00:00+00:00,59.40855952380953,59.8369645721811,59.83794214285713,56.086971861559284,60.84234719114617
2018-12-30 00:00:00+00:00,49.07558333333333,52.405140430982215,52.427045000000206,51.10162275993701,57.46101068583307
2019-01-06 00:00:00+00:00,53.805875,53.09699323648202,55.11070607142857,54.26081630007129,57.354973482671845
2019-01-13 00:00:00+00:00,62.37220238095238,59.74832755584242,59.78608818452365,55.342556427225574,60.037562490448515
2019-01-20 00:00:00+00:00,62.423494047619045,61.80731692281456,61.678011666666514,55.310073118163984,61.81344433215146
2019-01-27 00:00:00+00:00,63.58701190476191,61.840616468081066,62.200199821428384,55.83113698592601,62.3624101768984
2019-02-03 00:00:00+00:00,62.088767857142855,61.560502123798315,61.87590706845233,55.77194153335052,61.7704402352316
2019-02-10 00:00:00+00:00,62.35953571428572,60.37703546393335,60.969148809523915,55.83179699046617,61.1859047019553
2019-02-17 00:00:00+00:00,60.79900595238095,59.990057300094385,59.98371449404781,55.7897752336087,60.34773927508306
2019-02-24 00:00:00+00:00,59.46751785714285,59.527718439610496,60.08137791666679,55.7768165525326,60.334986153051375
2019-03-03 00:00:00+00:00,58.48182142857143,59.92013624393961,59.88593110119055,55.7768165525326,60.347503856109945
2019-03-10 00:00:00+00:00,58.99095238095238,59.26770889983675,59.08262980654765,55.68911709294385,59.776858510732964
2019-03-17 00:00:00+00:00,60.07891071428572,59.620601025841545,59.44292379464287,55.71860485170422,59.72974152829664
2019-03-24 00:00:00+00:00,57.649363095238094,59.72892266667242,59.514148184523826,55.97611754850679,59.78516689128993
2019-03-31 00:00:00+00:00,56.77151190476191,56.24377258915925,55.407348377976035,55.43164625202844,57.29515551038626
2019-04-07 00:00:00+00:00,56.43385714285714,55.6105048161577,54.84572250000011,53.8627094190174,56.61162610723966
2019-04-14 00:00:00+00:00,56.76597023809524,55.74125250697501,55.131930267857186,54.22649943419063,56.92692933748616
2019-04-21 00:00:00+00:00,51.65626190476191,54.584569214067216,54.528004925595404,53.6251910928728,56.38040135749867
2019-04-28 00:00:00+00:00,52.33675,55.184355435888065,55.27064325892865,53.645695475625004,56.32959020939846
2019-05-05 00:00:00+00:00,53.123172619047615,52.74707421332022,53.273882008928695,51.471109860850746,55.93029788399119
2019-05-12 00:00:00+00:00,56.02357738095238,53.33442081639629,53.42024653273814,51.430972494573865,55.885162716538645
2019-05-19 00:00:00+00:00,55.28559523809524,55.59233753298676,55.376779985119164,52.67121993827715,56.287892584631706
2019-05-26 00:00:00+00:00,54.94535119047619,53.86885007153732,53.4839755505953,52.42935168704854,55.94644518694227
2019-06-02 00:00:00+00:00,51.30880357142857,54.68341935318333,54.227650133928584,53.10206717883788,56.02071183197165
2019-06-09 00:00:00+00:00,54.52816071428572,56.143406976085345,55.549534166666646,54.681137715194794,56.325567150299214
2019-06-16 00:00:00+00:00,52.28670833333334,56.00352788845718,55.48328193452373,53.29894066631762,56.408095844226615
2019-06-23 00:00:00+00:00,52.54121428571428,57.36952354673056,55.57619757440468,54.785490735998685,56.54326553806297
2019-06-30 00:00:00+00:00,55.95528571428572,57.037559498303104,55.55352947916662,53.33762055913806,56.511327638930474
2019-07-07 00:00:00+00:00,55.17963095238096,55.92104892357145,55.52631644345235,53.42108690659345,56.70148959531622
2019-07-14 00:00:00+00:00,53.908166666666666,53.86330174746525,53.965392693452344,53.20804872109996,56.087179155199166
2019-07-21 00:00:00+00:00,53.511964285714285,54.08017464990739,53.82192031249996,52.94237260715451,55.90224742185444
2019-07-28 00:00:00+00:00,54.20710119047619,55.404735748537284,55.097217544642824,53.404786798327585,56.17120542476412
2019-08-04 00:00:00+00:00,52.39210119047619,55.192114017972,55.211358020833224,53.41116233344415,56.21129555001418
2019-08-11 00:00:00+00:00,52.01905357142857,54.54281737929607,54.576444508928496,53.269889522040366,56.29089309142073
2019-08-18 00:00:00+00:00,51.15523809523809,53.625171411103864,53.83115937500006,52.82290116439446,55.89924662200423
2019-08-25 00:00:00+00:00,51.83813095238095,54.69596454731007,54.86140556547612,53.34317995594984,56.197309604764044
2019-09-01 00:00:00+00:00,54.09197023809524,54.872755691376604,54.84233037202375,53.67391945264924,56.147419831107364
2019-09-08 00:00:00+00:00,52.44316071428572,55.6519132347855,55.27596049107133,53.743112260095145,56.11590493831478
2019-09-15 00:00:00+00:00,53.34848809523809,55.34831473540977,55.50075489583326,53.80030855937767,56.2785989628187
2019-09-22 00:00:00+00:00,53.22254761904762,57.861343294730915,57.15094129464283,55.321214432233965,57.05773007020314
2019-09-29 00:00:00+00:00,54.82947619047619,56.43882500320131,55.55446700892842,54.833379395963156,56.503118086244505
2019-10-06 00:00:00+00:00,52.33063095238096,55.94896591488609,54.95595239583323,53.99750524968089,56.65182940167772
2019-10-13 00:00:00+00:00,55.80170833333334,56.14313983522114,55.851189598214226,53.88983698406542,56.76650577955028
2019-10-20 00:00:00+00:00,56.13279166666666,57.306361587416035,57.3721622619048,55.26649406942228,58.28226284324334
2019-10-27 00:00:00+00:00,56.48441071428572,57.57034924849666,58.10427236607142,55.29784322749721,58.42296857953114
2019-11-03 00:00:00+00:00,55.02963095238096,54.16085973147597,55.43184029761895,54.112193442698036,56.63296460381854
2019-11-10 00:00:00+00:00,58.15936309523809,57.45917518081003,58.33760352678567,55.7540638780748,58.51103717882539
2019-11-17 00:00:00+00:00,59.11223809523809,58.40986251770189,59.36461492559517,55.7272933503298,59.03284658429795
2019-11-24 00:00:00+00:00,59.73594047619047,58.49531329750152,59.87090020833335,55.759839783281734,59.455118457045906
2019-12-01 00:00:00+00:00,59.84283333333334,59.118763013092526,60.32401086309534,55.759839783281734,60.72767777974197
2019-12-08 00:00:00+00:00,61.05929761904762,61.198400278363565,60.84810635416653,55.749499680695806,61.248297486612124
2019-12-15 00:00:00+00:00,61.24219047619047,61.43321012967621,61.164462782737964,55.749499680695806,62.12163633375995
2019-12-22 00:00:00+00:00,56.83676785714285,59.87376805614468,60.31683706845226,55.97554782601867,61.04932014112281
2019-12-29 00:00:00+00:00,46.50530952380953,53.939967398572165,53.680902559523894,51.89598080483844,57.88348902533853
2020-01-05 00:00:00+00:00,50.161702380952384,53.04726826771829,55.28344742559525,52.653315818531546,56.908779630541254
2020-01-12 00:00:00+00:00,59.07759523809524,58.90038742879227,59.409234122023626,55.72444464106874,59.93408267070463
