,actual,pred
2018-10-07 00:00:00+00:00,52.61837500000001,50.516462937544105
2018-10-14 00:00:00+00:00,55.84894047619047,54.57074423627556
2018-10-21 00:00:00+00:00,55.762125000000005,55.68123573962227
2018-10-28 00:00:00+00:00,58.68471428571429,56.589825977489355
2018-11-04 00:00:00+00:00,55.91758928571429,56.57507623651996
2018-11-11 00:00:00+00:00,58.163470238095236,57.367105822201815
2018-11-18 00:00:00+00:00,59.69608333333334,58.40094847592339
2018-11-25 00:00:00+00:00,61.5533630952381,59.45901305978745
2018-12-02 00:00:00+00:00,62.379154761904765,60.63103443023562
2018-12-09 00:00:00+00:00,62.32269047619047,60.63755011940748
2018-12-16 00:00:00+00:00,63.2435,60.436024366743865
2018-12-23 00:00:00+00:00,59.40855952380953,60.44503231848776
2018-12-30 00:00:00+00:00,49.075583333333334,56.23337503267079
2019-01-06 00:00:00+00:00,53.805875,56.10529150923714
2019-01-13 00:00:00+00:00,62.37220238095239,60.00459115702659
2019-01-20 00:00:00+00:00,62.42349404761905,61.1305134710297
2019-01-27 00:00:00+00:00,63.58701190476191,61.434714740514764
2019-02-03 00:00:00+00:00,62.08876785714286,60.977597961910064
2019-02-10 00:00:00+00:00,62.35953571428571,60.34785113240033
2019-02-17 00:00:00+00:00,60.79900595238095,60.01932921269537
2019-02-24 00:00:00+00:00,59.46751785714285,59.12421783168987
2019-03-03 00:00:00+00:00,58.48182142857143,58.19667161220685
2019-03-10 00:00:00+00:00,58.99095238095238,57.90643661894277
2019-03-17 00:00:00+00:00,60.07891071428571,58.13553703967109
2019-03-24 00:00:00+00:00,57.6493630952381,57.40118072071672
2019-03-31 00:00:00+00:00,56.7715119047619,56.56152768621221
2019-04-07 00:00:00+00:00,56.43385714285715,55.77508119279146
2019-04-14 00:00:00+00:00,56.76597023809524,55.20170385971666
2019-04-21 00:00:00+00:00,51.656261904761905,54.71065843957663
2019-04-28 00:00:00+00:00,52.33675,54.22363393178954
2019-05-05 00:00:00+00:00,53.123172619047615,52.17141911744699
